neg,neu,pos,compound
0.0,0.943,0.057,0.4404
0.0,0.798,0.202,0.8979
0.083,0.884,0.033,-0.2504
0.036,0.839,0.125,0.8824
0.0,0.89,0.11,0.4767
0.192,0.714,0.094,-0.296
0.0,0.893,0.107,0.34
0.11,0.827,0.063,-0.3354
0.0,0.959,0.041,0.2263
0.0,0.679,0.321,0.7964
0.037,0.844,0.119,0.5106
0.087,0.846,0.067,-0.1491
0.094,0.772,0.134,0.5423
0.0,1.0,0.0,0.0
0.065,0.935,0.0,-0.1511
0.164,0.836,0.0,-0.5423
0.0,0.836,0.164,0.6249
0.071,0.871,0.058,-0.2023
0.201,0.714,0.084,-0.4215
